,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10
Light,1.0,4.0,3.0,0.0,2.0,2.0,15.0,4.0,0.0,2.0
brightness,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
league,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thoughts,4.0,8.0,2.0,5.0,7.0,4.0,6.0,10.0,3.0,3.0
counsels,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hope,3.0,9.0,1.0,3.0,0.0,2.0,2.0,3.0,4.0,5.0
misery,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0
Pit,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Thunder,4.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0
force,12.0,5.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0
Arms,5.0,7.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,3.0
Victor,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0
rage,3.0,5.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,2.0
lustre,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
mind,5.0,2.0,2.0,2.0,4.0,0.0,3.0,4.0,4.0,3.0
sense,1.0,0.0,0.0,2.0,4.0,1.0,5.0,8.0,2.0,2.0
merit,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
contention,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits,7.0,7.0,6.0,6.0,7.0,6.0,5.0,1.0,1.0,2.0
reign,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Plains,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
throne,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
field,2.0,0.0,2.0,5.0,2.0,2.0,4.0,2.0,0.0,1.0
revenge,2.0,6.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0
hate,2.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0
courage,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
wrath,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grace,2.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
knee,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
terror,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0
Arm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Empire,1.0,4.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,4.0
ignominy,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
●…hame,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downfall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fate,2.0,6.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0
strength,8.0,4.0,0.0,1.0,0.0,8.0,0.0,3.0,3.0,3.0
Gods,14.0,4.0,1.0,2.0,6.0,5.0,1.0,14.0,1.0,6.0
substance,2.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0
experience,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
event,3.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0
foresight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
●…ith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guile,2.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0
war,5.0,9.0,0.0,1.0,0.0,13.0,1.0,0.0,2.0,8.0
Foe,2.0,5.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,1.0
excess,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
joy,3.0,5.0,5.0,4.0,2.0,4.0,3.0,5.0,7.0,11.0
Sole,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyranny,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apostate,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Angel,5.0,2.0,5.0,6.0,6.0,5.0,7.0,4.0,2.0,13.0
pain,3.0,16.0,0.0,12.0,0.0,11.0,0.0,4.0,5.0,2.0
despare,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compeer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prince,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0
Powers,4.0,3.0,5.0,2.0,6.0,6.0,1.0,2.0,5.0,3.0
Seraphim,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
conduct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
deeds,1.0,5.0,3.0,3.0,2.0,6.0,0.0,0.0,1.0,6.0
King,6.0,10.0,2.0,4.0,8.0,6.0,4.0,1.0,1.0,5.0
proof,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0
Supremacy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chance,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
overthrow,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
defeat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
destruction,1.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0
Essences,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spirit,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
vigour,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
conqueror,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pains,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ire,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
h●…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
thralls,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wa●…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
business,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
heart,5.0,0.0,0.0,3.0,0.0,1.0,9.0,5.0,5.0,13.0
Fire,5.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0
Errands,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strength,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
punishment,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0,3.0
arch-fiend,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherube,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
task,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
delight,1.0,1.0,3.0,6.0,2.0,1.0,7.0,6.0,2.0,3.0
will,2.0,3.0,6.0,2.0,5.0,3.0,2.0,4.0,2.0,5.0
evil,1.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,3.0,3.0
labour,1.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,2.0
